      apsza    band      o3      aod    dif1                dif2                dif3                dif4                dif5                dif6 
       0.0     290.0     0.0     0.0   -0.5224950638E+01    0.5303514673E+01    0.4419725700E-01    0.5309863911E+01   -0.1087952600E-01   -0.1095896420E+00
       0.0     295.0     0.0     0.0   -0.9391193118E+02    0.9554201955E+02    0.9570052680E+00    0.9560092836E+02   -0.2577998060E+00   -0.2055279321E+01
       0.0     300.0     0.0     0.0   -0.6407234679E+03    0.6498839310E+03    0.5592460679E+01    0.6501743771E+03   -0.1647723222E+01   -0.1072821222E+02
       0.0     305.0     0.0     0.0   -0.2162834371E+04    0.2195543813E+04    0.2070927414E+02    0.2197263882E+04   -0.6524828004E+01   -0.3679120778E+02
       0.0     310.0     0.0     0.0   -0.4800095481E+04    0.4857463683E+04    0.3780465868E+02    0.4862769481E+04   -0.1240502746E+02   -0.6376671067E+02
       0.0     315.0     0.0     0.0   -0.8071229689E+04    0.8153647193E+04    0.5647623668E+02    0.8165692774E+04   -0.1889328875E+02   -0.9279965801E+02
       0.0     320.0     0.0     0.0   -0.1207318304E+05    0.1217435392E+05    0.7215580096E+02    0.1219530272E+05   -0.2421174599E+02   -0.1170676288E+03
       0.0     325.0     0.0     0.0   -0.1605118609E+05    0.1617662761E+05    0.9343444640E+02    0.1621032155E+05   -0.3100072012E+02   -0.1499216508E+03
       0.0     330.0     0.0     0.0   -0.2349082750E+05    0.2364694336E+05    0.1194607756E+03    0.2370046185E+05   -0.3957359921E+02   -0.1956901448E+03
       0.0     335.0     0.0     0.0   -0.2364460502E+05    0.2378804091E+05    0.1135987162E+03    0.2384537494E+05   -0.3680671402E+02   -0.1864881755E+03
       0.0     340.0     0.0     0.0   -0.5219742009E+05    0.5235642561E+05    0.1270822396E+03    0.5243027746E+05   -0.4128482254E+02   -0.2158307712E+03
       0.0     345.0     0.0     0.0   -0.2814776467E+05    0.2830134428E+05    0.1301006628E+03    0.2837817150E+05   -0.3971086740E+02   -0.2138244976E+03
       0.0     350.0     0.0     0.0   -0.3336706360E+05    0.3352635332E+05    0.1383514634E+03    0.3361364432E+05   -0.4120381184E+02   -0.2291851292E+03
       0.0     355.0     0.0     0.0   -0.3681627090E+05    0.3698339922E+05    0.1493008199E+03    0.3708105558E+05   -0.4297582871E+02   -0.2468505083E+03
       0.0     360.0     0.0     0.0   -0.3333371567E+05    0.3348307762E+05    0.1372556301E+03    0.3357518494E+05   -0.3802176402E+02   -0.2260034846E+03
       0.0     365.0     0.0     0.0   -0.6976020035E+05    0.6995195722E+05    0.1740583579E+03    0.7008216602E+05   -0.4905112294E+02   -0.3022889315E+03
       0.0     370.0     0.0     0.0   -0.4832823732E+05    0.4852150988E+05    0.1837184500E+03    0.4865535963E+05   -0.4856037362E+02   -0.3085429089E+03
       0.0     375.0     0.0     0.0   -0.4258831751E+05    0.4276295384E+05    0.1702555090E+03    0.4288742618E+05   -0.4312807357E+02   -0.2836404065E+03
       0.0     380.0     0.0     0.0   -0.4782298828E+05    0.4801843315E+05    0.1948643325E+03    0.4816025666E+05   -0.4728539232E+02   -0.3217140664E+03
       0.0     385.0     0.0     0.0   -0.3969648104E+05    0.3985060738E+05    0.1558941314E+03    0.3996718204E+05   -0.3684640737E+02   -0.2593939458E+03
       0.0     390.0     0.0     0.0   -0.5015769550E+05    0.5035632956E+05    0.2032973219E+03    0.5051163575E+05   -0.4685110394E+02   -0.3408771519E+03
       0.0     395.0     0.0     0.0   -0.4048551505E+05    0.4063767856E+05    0.1579889998E+03    0.4075951643E+05   -0.3530933689E+02   -0.2651471807E+03
       0.0     400.0     0.0     0.0   -0.7378584612E+05    0.7406021951E+05    0.2876100686E+03    0.7428654344E+05   -0.6283545437E+02   -0.4867034532E+03
       0.0     450.0     0.0     0.0   -0.7511530143E+05    0.7541510060E+05    0.3401236352E+03    0.7569953916E+05   -0.5659219742E+02   -0.5956323937E+03
       0.0     550.0     0.0     0.0   -0.5138894443E+05    0.5166388287E+05    0.3200844151E+03    0.5197659820E+05   -0.4020916330E+02   -0.6266082433E+03
       0.0     650.0     0.0     0.0   -0.2372239406E+05    0.2394154449E+05    0.2472162811E+03    0.2422444139E+05   -0.2836479366E+02   -0.5421613570E+03
       0.0     750.0     0.0     0.0   -0.5476121616E+04    0.5639172441E+04    0.1752568111E+03    0.5871704171E+04   -0.2037447884E+02   -0.4267341144E+03
       8.0     290.0     0.0     0.0   -0.5633261010E+01    0.5706335731E+01    0.4201393900E-01    0.5712723860E+01   -0.1087049800E-01   -0.1013941320E+00
       8.0     295.0     0.0     0.0   -0.1410232610E+03    0.1425818557E+03    0.9260790590E+00    0.1426460532E+03   -0.2583729350E+00   -0.1957282173E+01
       8.0     300.0     0.0     0.0   -0.8878933076E+03    0.8967533587E+03    0.5500178144E+01    0.8967737397E+03   -0.1589951643E+01   -0.1014616285E+02
       8.0     305.0     0.0     0.0   -0.3475070647E+04    0.3506780217E+04    0.2069506226E+02    0.3505889859E+04   -0.5984309182E+01   -0.3375913260E+02
       8.0     310.0     0.0     0.0   -0.6629756528E+04    0.6685176059E+04    0.3831005335E+02    0.6682280745E+04   -0.1068727522E+02   -0.5588943303E+02
       8.0     315.0     0.0     0.0   -0.1071776328E+05    0.1079668004E+05    0.5811319266E+02    0.1079080785E+05   -0.1516199606E+02   -0.7650017726E+02
       8.0     320.0     0.0     0.0   -0.1351633414E+05    0.1361236741E+05    0.7499078348E+02    0.1360358106E+05   -0.1799403073E+02   -0.9101077968E+02
       8.0     325.0     0.0     0.0   -0.1800591531E+05    0.1812386015E+05    0.9803115118E+02    0.1811099893E+05   -0.2121155286E+02   -0.1099691019E+03
