     band      o3      aod    dir1                dir2                dir3                dir4 
     290.0     0.0     0.0   -0.3678547470E+00    0.5103818830E+00   -0.9073447460E+00    0.8331060220E+00
     295.0     0.0     0.0   -0.6556105803E+01    0.9102499490E+01   -0.1796508654E+02    0.1696551522E+02
     300.0     0.0     0.0   -0.2934009550E+02    0.4076992708E+02   -0.9256910226E+02    0.9043946083E+02
     305.0     0.0     0.0   -0.7970796729E+02    0.1108632523E+03   -0.3001193356E+03    0.3043717947E+03
     310.0     0.0     0.0   -0.1082643716E+03    0.1507126400E+03   -0.4869819771E+03    0.5104817359E+03
     315.0     0.0     0.0   -0.1277064161E+03    0.1778900048E+03   -0.6650759678E+03    0.7150055671E+03
     320.0     0.0     0.0   -0.1357572978E+03    0.1891804578E+03   -0.7947237846E+03    0.8712347601E+03
     325.0     0.0     0.0   -0.1507057568E+03    0.2100794757E+03   -0.9755558675E+03    0.1086862607E+04
     330.0     0.0     0.0   -0.1755409270E+03    0.2447447131E+03   -0.1216124721E+04    0.1369522785E+04
     335.0     0.0     0.0   -0.1531514417E+03    0.2135614119E+03   -0.1126977022E+04    0.1281438766E+04
     340.0     0.0     0.0   -0.1585387753E+03    0.2211349519E+03   -0.1261151273E+04    0.1448487261E+04
     345.0     0.0     0.0   -0.1464695406E+03    0.2043315199E+03   -0.1237718457E+04    0.1433749311E+04
     350.0     0.0     0.0   -0.1436903283E+03    0.2004910903E+03   -0.1298390607E+04    0.1517061362E+04
     355.0     0.0     0.0   -0.1402061854E+03    0.1956701055E+03   -0.1374865211E+04    0.1620886090E+04
     360.0     0.0     0.0   -0.1170930669E+03    0.1634414936E+03   -0.1241733980E+04    0.1476759148E+04
     365.0     0.0     0.0   -0.1391505273E+03    0.1942630249E+03   -0.1593170333E+04    0.1910204769E+04
     370.0     0.0     0.0   -0.1319800933E+03    0.1842662325E+03   -0.1625159958E+04    0.1963602033E+04
     375.0     0.0     0.0   -0.1095532116E+03    0.1529818782E+03   -0.1479199707E+04    0.1802391521E+04
     380.0     0.0     0.0   -0.1118683639E+03    0.1562305158E+03   -0.1662876091E+04    0.2043023220E+04
     385.0     0.0     0.0   -0.8209920216E+02    0.1146476716E+03   -0.1317591191E+04    0.1631022556E+04
     390.0     0.0     0.0   -0.9494045105E+02    0.1325819043E+03   -0.1696570023E+04    0.2117510090E+04
     395.0     0.0     0.0   -0.6422518885E+02    0.8969645756E+02   -0.1302229031E+04    0.1638590828E+04
     400.0     0.0     0.0   -0.1082277496E+03    0.1510859313E+03   -0.2350445688E+04    0.2977530870E+04
     450.0     0.0     0.0   -0.2723267504E+02    0.3743937038E+02   -0.2533440833E+04    0.3446548682E+04
     550.0     0.0     0.0    0.2734253838E+02   -0.3941102086E+02   -0.2320592433E+04    0.3448945962E+04
     650.0     0.0     0.0   -0.8137107667E+02    0.1120934627E+03   -0.1838193856E+04    0.2885014417E+04
     750.0     0.0     0.0   -0.2306164119E+03    0.3206426849E+03   -0.1354976372E+04    0.2195940732E+04
     290.0     0.0     1.0   -0.3678589010E+00    0.5103875860E+00   -0.9073417420E+00    0.8331013860E+00
     295.0     0.0     1.0   -0.6558848288E+01    0.9106264729E+01   -0.1796308839E+02    0.1696243848E+02
     300.0     0.0     1.0   -0.2944643286E+02    0.4091601556E+02   -0.9249771646E+02    0.9032628238E+02
     305.0     0.0     1.0   -0.8077492261E+02    0.1123304535E+03   -0.2995010276E+03    0.3033345942E+03
     310.0     0.0     1.0   -0.1110400889E+03    0.1545332017E+03   -0.4856238713E+03    0.5080349259E+03
     315.0     0.0     1.0   -0.1316435185E+03    0.1833133188E+03   -0.6634314958E+03    0.7118181960E+03
     320.0     0.0     1.0   -0.1394596139E+03    0.1942831511E+03   -0.7933714924E+03    0.8684325969E+03
     325.0     0.0     1.0   -0.1534102929E+03    0.2138086397E+03   -0.9746639172E+03    0.1084911771E+04
     330.0     0.0     1.0   -0.1776933541E+03    0.2477134134E+03   -0.1215458082E+04    0.1368013548E+04
     335.0     0.0     1.0   -0.1541832002E+03    0.2149848134E+03   -0.1126676123E+04    0.1280734031E+04
     340.0     0.0     1.0   -0.1590666950E+03    0.2218636763E+03   -0.1261023167E+04    0.1448152626E+04
     345.0     0.0     1.0   -0.1467930841E+03    0.2047779121E+03   -0.1237618991E+04    0.1433523122E+04
     350.0     0.0     1.0   -0.1437487262E+03    0.2005717059E+03   -0.1298375503E+04    0.1517023396E+04
     355.0     0.0     1.0   -0.1402061854E+03    0.1956701055E+03   -0.1374865211E+04    0.1620886090E+04
     360.0     0.0     1.0   -0.1170930669E+03    0.1634414936E+03   -0.1241733980E+04    0.1476759148E+04
     365.0     0.0     1.0   -0.1391505273E+03    0.1942630249E+03   -0.1593170333E+04    0.1910204769E+04
     370.0     0.0     1.0   -0.1319800933E+03    0.1842662325E+03   -0.1625159958E+04    0.1963602033E+04
     375.0     0.0     1.0   -0.1095532116E+03    0.1529818782E+03   -0.1479199707E+04    0.1802391521E+04
     380.0     0.0     1.0   -0.1118683639E+03    0.1562305158E+03   -0.1662876091E+04    0.2043023220E+04
     385.0     0.0     1.0   -0.8209920216E+02    0.1146476716E+03   -0.1317591191E+04    0.1631022556E+04
     390.0     0.0     1.0   -0.9494045105E+02    0.1325819043E+03   -0.1696570023E+04    0.2117510090E+04
     395.0     0.0     1.0   -0.6422518885E+02    0.8969645756E+02   -0.1302229031E+04    0.1638590828E+04
     400.0     0.0     1.0   -0.1082277496E+03    0.1510859313E+03   -0.2350445688E+04    0.2977530870E+04
     450.0     0.0     1.0   -0.3058134381E+02    0.4207397029E+02   -0.2532917949E+04    0.3444713413E+04
     550.0     0.0     1.0   -0.1932202698E+02    0.2522827370E+02   -0.2310707740E+04    0.3420715371E+04
     650.0     0.0     1.0   -0.1240695740E+03    0.1712811150E+03   -0.1827285310E+04    0.2857276810E+04
     750.0     0.0     1.0   -0.2373822561E+03    0.3300272123E+03   -0.1352985615E+04    0.2191277307E+04
     290.0     1.0     0.0   -0.1777674800E-01    0.2465705000E-01   -0.4165914800E-01    0.3771709500E-01
     295.0     1.0     0.0   -0.1380518755E+01    0.1915997970E+01   -0.3526119269E+01    0.3270628519E+01
     300.0     1.0     0.0   -0.1376953418E+02    0.1912514868E+02   -0.3971049341E+02    0.3800989176E+02
     305.0     1.0     0.0   -0.5924163971E+02    0.8235350382E+02   -0.2004050556E+03    0.1991190770E+03
     310.0     1.0     0.0   -0.1006936655E+03    0.1400917626E+03   -0.4055249980E+03    0.4177876475E+03
     315.0     1.0     0.0   -0.1292619138E+03    0.1799599473E+03   -0.6116928364E+03    0.6494053261E+03
     320.0     1.0     0.0   -0.1403276355E+03    0.1954686452E+03   -0.7657651975E+03    0.8328653725E+03
     325.0     1.0     0.0   -0.1547956512E+03    0.2157262025E+03   -0.9616034134E+03    0.1066976273E+04
     330.0     1.0     0.0   -0.1791970426E+03    0.2498000131E+03   -0.1208156464E+04    0.1357194474E+04
     335.0     1.0     0.0   -0.1551185841E+03    0.2162829946E+03   -0.1124169250E+04    0.1276617108E+04
     340.0     1.0     0.0   -0.1591009473E+03    0.2219122084E+03   -0.1259269616E+04    0.1445772228E+04
     345.0     1.0     0.0   -0.1467450240E+03    0.2047129158E+03   -0.1236863381E+04    0.1432491931E+04
     350.0     1.0     0.0   -0.1437613126E+03    0.2005892621E+03   -0.1298308639E+04    0.1516913525E+04
     355.0     1.0     0.0   -0.1402061854E+03    0.1956701055E+03   -0.1374865211E+04    0.1620886090E+04
     360.0     1.0     0.0   -0.1170930669E+03    0.1634414936E+03   -0.1241733980E+04    0.1476759148E+04
     365.0     1.0     0.0   -0.1391505273E+03    0.1942630249E+03   -0.1593170333E+04    0.1910204769E+04
     370.0     1.0     0.0   -0.1319800933E+03    0.1842662325E+03   -0.1625159958E+04    0.1963602033E+04
     375.0     1.0     0.0   -0.1095532116E+03    0.1529818782E+03   -0.1479199707E+04    0.1802391521E+04
     380.0     1.0     0.0   -0.1118683639E+03    0.1562305158E+03   -0.1662876091E+04    0.2043023220E+04
     385.0     1.0     0.0   -0.8209920216E+02    0.1146476716E+03   -0.1317591191E+04    0.1631022556E+04
     390.0     1.0     0.0   -0.9494045105E+02    0.1325819043E+03   -0.1696570023E+04    0.2117510090E+04
     395.0     1.0     0.0   -0.6422518885E+02    0.8969645756E+02   -0.1302229031E+04    0.1638590828E+04
     400.0     1.0     0.0   -0.1082277496E+03    0.1510859313E+03   -0.2350445688E+04    0.2977530870E+04
     450.0     1.0     0.0   -0.3055625585E+02    0.4204601216E+02   -0.2534163514E+04    0.3444994660E+04
     550.0     1.0     0.0   -0.1156657653E+02    0.1447003028E+02   -0.2329781645E+04    0.3432819632E+04
     650.0     1.0     0.0   -0.1095391961E+03    0.1510234349E+03   -0.1840953837E+04    0.2868752450E+04
     750.0     1.0     0.0   -0.2344041523E+03    0.3258567656E+03   -0.1355393686E+04    0.2193793318E+04
     290.0     1.0     1.0   -0.1777674800E-01    0.2465705000E-01   -0.4165914800E-01    0.3771709500E-01
     295.0     1.0     1.0   -0.1380518755E+01    0.1915997970E+01   -0.3526119269E+01    0.3270628519E+01
     300.0     1.0     1.0   -0.1376953418E+02    0.1912514868E+02   -0.3971049341E+02    0.3800989176E+02
     305.0     1.0     1.0   -0.5924163971E+02    0.8235350382E+02   -0.2004050556E+03    0.1991190770E+03
     310.0     1.0     1.0   -0.1006936655E+03    0.1400917626E+03   -0.4055249980E+03    0.4177876475E+03
     315.0     1.0     1.0   -0.1292619138E+03    0.1799599473E+03   -0.6116928364E+03    0.6494053261E+03
     320.0     1.0     1.0   -0.1403276355E+03    0.1954686452E+03   -0.7657651975E+03    0.8328653725E+03
     325.0     1.0     1.0   -0.1547956512E+03    0.2157262025E+03   -0.9616034134E+03    0.1066976273E+04
     330.0     1.0     1.0   -0.1791970426E+03    0.2498000131E+03   -0.1208156464E+04    0.1357194474E+04
     335.0     1.0     1.0   -0.1551185841E+03    0.2162829946E+03   -0.1124169250E+04    0.1276617108E+04
     340.0     1.0     1.0   -0.1591009473E+03    0.2219122084E+03   -0.1259269616E+04    0.1445772228E+04
     345.0     1.0     1.0   -0.1467450240E+03    0.2047129158E+03   -0.1236863381E+04    0.1432491931E+04
     350.0     1.0     1.0   -0.1437613126E+03    0.2005892621E+03   -0.1298308639E+04    0.1516913525E+04
     355.0     1.0     1.0   -0.1402061854E+03    0.1956701055E+03   -0.1374865211E+04    0.1620886090E+04
     360.0     1.0     1.0   -0.1170930669E+03    0.1634414936E+03   -0.1241733980E+04    0.1476759148E+04
     365.0     1.0     1.0   -0.1391505273E+03    0.1942630249E+03   -0.1593170333E+04    0.1910204769E+04
     370.0     1.0     1.0   -0.1319800933E+03    0.1842662325E+03   -0.1625159958E+04    0.1963602033E+04
     375.0     1.0     1.0   -0.1095532116E+03    0.1529818782E+03   -0.1479199707E+04    0.1802391521E+04
     380.0     1.0     1.0   -0.1118683639E+03    0.1562305158E+03   -0.1662876091E+04    0.2043023220E+04
     385.0     1.0     1.0   -0.8209920216E+02    0.1146476716E+03   -0.1317591191E+04    0.1631022556E+04
     390.0     1.0     1.0   -0.9494045105E+02    0.1325819043E+03   -0.1696570023E+04    0.2117510090E+04
     395.0     1.0     1.0   -0.6422518885E+02    0.8969645756E+02   -0.1302229031E+04    0.1638590828E+04
     400.0     1.0     1.0   -0.1082277496E+03    0.1510859313E+03   -0.2350445688E+04    0.2977530870E+04
     450.0     1.0     1.0   -0.3055625585E+02    0.4204601216E+02   -0.2534163514E+04    0.3444994660E+04
     550.0     1.0     1.0   -0.1156657653E+02    0.1447003028E+02   -0.2329781645E+04    0.3432819632E+04
     650.0     1.0     1.0   -0.1095391961E+03    0.1510234349E+03   -0.1840953837E+04    0.2868752450E+04
     750.0     1.0     1.0   -0.2344041523E+03    0.3258567656E+03   -0.1355393686E+04    0.2193793318E+04
